year,pred64,pred85,pred105,pred125,temperature
2272,13.40444647,5.393739866,3.267830251,2.360674758,4.848874908
2273,13.61573918,5.458099273,3.299818344,2.380480935,4.808292274
2274,13.83035927,5.523220322,3.332112542,2.400446197,4.701156756
2275,14.04835913,5.589112024,3.364715772,2.420571822,4.786314243
2276,14.26979199,5.655783501,3.397630992,2.440859097,4.829187786
2277,14.49471191,5.723243981,3.430861189,2.461309321,4.783182969
2278,14.7231738,5.7915028,3.464409375,2.481923804,4.918974301
2279,14.95523345,5.860569406,3.498278594,2.502703863,4.962623648
2280,15.1909475,5.93045336,3.532471918,2.52365083,4.81975206
2281,15.43037351,6.001164332,3.566992448,2.544766045,4.987032906
2282,15.67356993,6.072712111,3.601843316,2.566050859,4.779495081
2283,15.92059614,6.1451066,3.637027682,2.587506634,4.819501213
2284,16.17151244,6.218357818,3.672548738,2.609134744,5.065727552
2285,16.4263801,6.292475905,3.708409707,2.630936573,4.873471738
2286,16.68526134,6.367471118,3.744613839,2.652913516,4.878170718
2287,16.94821937,6.443353838,3.78116442,2.675066979,5.051046593
2288,17.21531838,6.520134569,3.818064765,2.697398381,5.129986825
2289,17.48662359,6.597823936,3.855318221,2.719909151,5.071368928
2290,17.76220124,6.676432694,3.892928166,2.74260073,4.762148925
2291,18.04211861,6.755971722,3.930898012,2.765474569,5.103389643
2292,18.32644403,6.836452029,3.969231203,2.788532132,5.073636891
2293,18.61524692,6.917884755,4.007931216,2.811774896,5.091805661
2294,18.9085978,7.000281171,4.047001562,2.835204348,5.109534853
2295,19.20656828,7.083652681,4.086445783,2.858821987,4.919530742
2296,19.50923112,7.168010824,4.126267459,2.882629325,5.084739533
2297,19.8166602,7.253367277,4.1664702,2.906627886,5.189863075
2298,20.12893058,7.339733854,4.207057653,2.930819205,5.004875794
2299,20.44611851,7.427122509,4.2480335,2.955204831,4.969934693
2300,20.76830142,7.515545337,4.289401458,2.979786324,5.126233697
2301,21.09555797,7.605014577,4.331165278,3.004565258,5.156204382
2302,21.42796807,7.695542612,4.373328749,3.029543218,5.133333592
2303,21.76561286,7.787141973,4.415895695,3.054721804,5.152898632
